@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50'

@attribute Code numeric
@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Male_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute Female_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'CS Major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'ECE major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute Standing {'\'(-inf-0.8]\'','\'(0.8-1.6]\'','\'(1.6-2.4]\'','\'(2.4-3.2]\'','\'(3.2-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute 'Took 416_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute '416 Grade' numeric
@attribute 'Took 515_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute '515 Grade' numeric
@attribute 'Took 520_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute '520 Grade' numeric
@attribute Semester {'\'(-inf-0.75]\'','\'(0.75-1.5]\'','\'(1.5-2.25]\'','\'(2.25-inf)\''}
@attribute 'Graduated with CS Degree_1' {'\'(-inf-0]\'','\'(0-inf)\''}

@data
310,0.95,0.83,1,0,0,0.94,0.85,1,0,0,1,1,1,0,0,0.96,0.77,1,0,0,0.97,0.75,1,0,0,0.95,0.86,1,0.95,0.9,0.97,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.95,-0.07,-0.03,-0.05,0.03,'\'(0.5-inf)\'',4,'\'(0.5-inf)\'',3.33,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(0-inf)\''
82,0.81,0.63,0.94,0,0.2,0.68,0,1,0.18,0.18,0.84,0.44,1,0,0.25,0.8,0,1,0.08,0.23,0.79,0,1,0.08,0.33,0.74,0.64,0.86,0.89,0.8,0.95,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.76,0.06,0.2,-0.22,-0.16,'\'(0.5-inf)\'',0,'\'(0.5-inf)\'',2.67,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(0-inf)\''
393,0.73,0.44,1,0,0.5,0.75,0,1,0.18,0.18,0.72,0,1,0.25,0.25,0.88,0,1,0.08,0.15,0.9,0,1,0.08,0.08,0.68,0.58,0.79,0.82,0.59,0.97,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(-inf-0.857143]\'',0.79,-0.01,0.28,0.22,0.19,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
32,1,0.96,1,0,0,0.87,0,1,0.09,0.09,0.84,0,1,0.13,0.13,0.98,0.83,1,0,0,0.9,0,1,0.08,0.08,0.99,0.96,1,0.99,0.97,1,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.93,0.01,0.09,-0.02,0.21,'\'(0.5-inf)\'',4,'\'(0.5-inf)\'',3.67,'\'(0.5-inf)\'',3.33,'\'(-inf-0.75]\'','\'(0-inf)\''
165,0.76,0.53,0.94,0,0.3,0.89,0.75,1,0,0,0.8,0,1,0.13,0.25,0.77,0,1,0.08,0.31,0.98,0.75,1,0,0,0.34,0.23,0.47,0.88,0.83,0.92,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(3.2-inf)\'','\'(-inf-0.857143]\'',0.83,-0.05,0.02,-0.12,0.04,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
157,0.85,0.63,0.94,0,0.1,0.96,0.9,1,0,0,1,1,1,0,0,0.98,0.86,1,0,0,1,1,1,0,0,0.59,0.51,0.64,0.87,0.84,0.9,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.92,-0.09,0.01,-0.03,0,'\'(0.5-inf)\'',3.33,'\'(0.5-inf)\'',2,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
164,0.36,0,0.67,0.4,1,0,0,0,1,1,0.09,0,0.72,0.88,0.88,0.23,0,1,0.69,0.77,0.17,0,1,0.83,0.83,0.25,0.1,0.54,0.33,0,0.67,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.14,-0.28,0,-0.43,-0.33,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
326,0.56,0,0.88,0.2,0.5,0.8,0,1,0.09,0.09,0.11,0,0.67,0.75,1,0.49,0,1,0.46,0.54,0.4,0,1,0.5,0.67,0.83,0.73,0.92,0.82,0.81,0.84,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.69,-0.16,0.05,-0.29,-0.31,'\'(0.5-inf)\'',2.67,'\'(0.5-inf)\'',3,'\'(0.5-inf)\'',3.67,'\'(-inf-0.75]\'','\'(0-inf)\''
17,0.59,0.4,0.72,0,0.9,0.51,0,1,0.09,0.73,0.53,0,1,0.38,0.5,0.65,0,1,0.23,0.38,0.38,0,1,0.58,0.67,0.36,0.18,0.47,0.56,0.37,0.72,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.51,0.02,-0.2,-0.27,-0.42,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
178,0.78,0.56,1,0,0.2,0.77,0,1,0.09,0.09,0.59,0,1,0.25,0.5,0.87,0.58,1,0,0.15,0.83,0,1,0.08,0.25,0.25,0.14,0.36,0.85,0.81,0.9,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.76,-0.04,0.14,-0.05,0.08,'\'(0.5-inf)\'',0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
233,0.73,0.6,0.9,0,0.4,0.36,0,1,0.55,0.64,0.27,0,1,0.63,0.75,0.74,0,1,0.15,0.31,0.9,0,1,0.08,0.08,0.3,0.06,0.58,0.82,0.81,0.84,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.51,-0.05,-0.66,-0.3,-0.19,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
217,0.76,0.63,0.84,0,0.2,0.85,0.73,1,0,0,0.8,0.5,1,0,0.25,0.95,0.69,1,0,0.08,0.96,0.57,1,0,0.08,0.39,0.27,0.46,0.89,0.86,0.94,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.83,-0.02,-0.08,-0.09,0.07,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
309,0.82,0.7,0.94,0,0,0.93,0.72,1,0,0,0.73,0,1,0.13,0.25,0.95,0.75,1,0,0,0.9,0,1,0.08,0.08,0.8,0.67,0.88,0.86,0.82,0.91,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.89,-0.03,-0.09,-0.04,-0.14,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
18,0.7,0.43,0.86,0,0.4,0.59,0,0.98,0.09,0.36,0.8,0,1,0.13,0.25,0.73,0,1,0.08,0.31,0.97,0.83,1,0,0,0.45,0.24,0.78,0.72,0.71,0.75,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.67,-0.12,-0.08,0.06,0,'\'(0.5-inf)\'',2,'\'(0.5-inf)\'',1.67,'\'(0.5-inf)\'',0.67,'\'(-inf-0.75]\'','\'(0-inf)\''
376,0.62,0.44,0.87,0,0.8,0.85,0.6,0.97,0,0.18,0.81,0.5,1,0,0.25,0.89,0.44,1,0,0.15,0.96,0.71,1,0,0,0.61,0.49,0.77,0.78,0.74,0.85,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.8,-0.13,-0.15,-0.16,-0.08,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
249,0.49,0.13,0.77,0,0.9,0.57,0,1,0.27,0.45,0.68,0,1,0.25,0.38,0.59,0,1,0.31,0.46,0.83,0,1,0.08,0.17,0.35,0.12,0.51,0.7,0.6,0.83,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.58,-0.11,-0.13,-0.59,-0.22,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
221,0.79,0.63,0.94,0,0.2,0.92,0.72,1,0,0,0.82,0,1,0.13,0.13,0.94,0.58,1,0,0.08,0.99,0.86,1,0,0,0.95,0.93,0.98,0.89,0.83,0.94,'\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.91,0.09,-0.06,-0.01,0.02,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
3,0.85,0.7,0.94,0,0,0.86,0.75,1,0,0,0.7,0.25,1,0,0.25,0.85,0,1,0.15,0.15,0.92,0,1,0.08,0.08,0.99,0.98,1,0.9,0.87,0.96,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.88,0.06,-0.04,0.29,0.17,'\'(0.5-inf)\'',3.67,'\'(0.5-inf)\'',3,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(0-inf)\''
146,0.74,0.59,0.91,0,0.2,0.76,0.4,0.98,0,0.36,0.4,0,1,0.38,0.63,0.78,0,1,0.15,0.23,0.75,0,1,0.25,0.25,0.46,0.46,0.47,0.8,0.76,0.85,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.75,-0.05,0.09,-0.47,0.17,'\'(0.5-inf)\'',2.33,'\'(0.5-inf)\'',1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
140,0.56,0.44,0.88,0,0.7,0.86,0.65,1,0,0.09,0.38,0,1,0.38,0.75,0.81,0,1,0.08,0.23,0.5,0,1,0.5,0.5,0.34,0.13,0.57,0.7,0.59,0.77,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(1.714286-2.571429]\'',0.71,-0.12,0,-0.02,-0.33,'\'(0.5-inf)\'',1.67,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
51,0.62,0.37,0.88,0,0.7,0.67,0,0.87,0.09,0.27,0.56,0,1,0.25,0.5,0.8,0,1,0.08,0.23,0.43,0,1,0.5,0.58,0.33,0.1,0.56,0.76,0.65,0.86,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.63,0.13,0.16,-0.17,-0.2,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
289,0.46,0,0.75,0.2,0.8,0.41,0,1,0.45,0.64,0.34,0,1,0.63,0.63,0.54,0,1,0.38,0.46,0.71,0,1,0.25,0.25,0.2,0,0.49,0.32,0,0.63,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.4,-0.24,-0.75,-0.69,-0.46,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
377,0.9,0.75,1,0,0,0.92,0.74,1,0,0,0.28,0,1,0.63,0.75,0.87,0,1,0.08,0.08,0.92,0,1,0.08,0.08,0.94,0.84,1,0.86,0.73,0.96,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.89,-0.09,-0.05,-0.1,0.17,'\'(0.5-inf)\'',3.33,'\'(0.5-inf)\'',2.67,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
238,0.93,0.77,1,0,0,0.97,0.88,1,0,0,0.89,0.5,1,0,0.25,0.87,0,1,0.08,0.15,1,1,1,0,0,1,0.99,1,0.97,0.97,0.98,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.96,0.1,-0.01,0.2,0,'\'(0.5-inf)\'',4,'\'(0.5-inf)\'',3.33,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(0-inf)\''
207,0.86,0.69,1,0,0.1,0.87,0.64,1,0,0.09,0.45,0,1,0.5,0.5,0.99,0.91,1,0,0,0.92,0,1,0.08,0.08,0.88,0.69,1,0.89,0.85,0.92,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(3.428571-4.285714]\'',0.87,0.03,-0.11,-0.02,0.17,'\'(0.5-inf)\'',2,'\'(0.5-inf)\'',2.33,'\'(0.5-inf)\'',0,'\'(-inf-0.75]\'','\'(-inf-0]\''
241,0.9,0.66,1,0,0.1,0.99,0.96,1,0,0,0.97,0.78,1,0,0,0.98,0.73,1,0,0,1,1,1,0,0,1,0.99,1,0.99,0.97,1,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.98,-0.08,-0.01,-0.05,0,'\'(0.5-inf)\'',4,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.75]\'','\'(-inf-0]\''
182,0.705683,0,0.916667,0.1,0.3,0.267273,0,1,0.727273,0.727273,0,0,0,1,1,0.363636,0,1,0.636364,0.636364,0.666667,0,1,0.333333,0.333333,0.73,0.51,0.95,0.27,0,0.54,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(-inf-0.857143]\'',0.413056,-0.078032,-0.49,-0.363636,-0.3,'\'(0.5-inf)\'',0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
112,0.772714,0.466667,0.9375,0,0.3,0.974545,0.93,1,0,0,0.725,0.6,1,0,0.5,0.920455,0,1,0.045455,0.045455,0.888889,0,1,0.111111,0.111111,0.98,0.96,1,0.635,0.52,0.75,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.915472,0.106042,-0.015667,0.107576,0.2,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
383,0.660213,0,0.966667,0.2,0.2,0.609091,0,1,0.363636,0.363636,0.2,0,0.8,0.75,0.75,0.7875,0,1,0.181818,0.227273,0.777778,0,1,0.222222,0.222222,0.49,0,0.98,0.235,0,0.47,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(2.571429-3.428571]\'',0.620685,-0.320835,-0.757333,-0.425,-0.5,'\'(0.5-inf)\'',3,'\'(0.5-inf)\'',1.33,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
98,0.71358,0.586207,0.84375,0,0.3,0.831818,0.49,1,0,0.181818,0.75,0.4,1,0,0.25,0.89803,0,1,0.045455,0.090909,0.888889,0,1,0.111111,0.111111,0.545,0.32,0.77,0.52,0.46,0.58,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.796457,-0.049137,-0.190333,0.016061,0.2,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
343,0.687786,0.46875,0.875,0,0.5,0.632727,0,0.98,0.181818,0.363636,0.35,0,0.9,0.5,0.75,0.832576,0,1,0.136364,0.181818,0.666667,0,1,0.333333,0.333333,0.535,0.44,0.63,0.505,0.31,0.7,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.663764,-0.01969,-0.569667,-0.125758,0.15,'\'(0.5-inf)\'',2,'\'(0.5-inf)\'',2,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
209,0.616136,0.441176,0.794118,0,0.8,0.690909,0,1,0.090909,0.363636,0.45,0,1,0.5,0.5,0.836894,0,1,0.090909,0.181818,1,1,1,0,0,0.405,0.35,0.46,0.495,0.41,0.58,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(-inf-0.857143]\'',0.688975,-0.006211,-0.405,0.05197,0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
328,0.720658,0,0.970588,0.1,0.3,0.585455,0,1,0.181818,0.363636,0,0,0,1,1,0.843636,0,1,0.136364,0.181818,0.777778,0,1,0.222222,0.222222,0.96,0.92,1,0.335,0,0.67,'\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(3.428571-4.285714]\'',0.654847,0.151985,-0.717667,-0.123636,0.4,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(0-inf)\''
299,0.790606,0,0.972222,0.1,0.1,0.737273,0,1,0.090909,0.272727,0.5,0,0.9,0.25,0.75,0.85947,0,1,0.090909,0.090909,0.777778,0,1,0.222222,0.222222,0.96,0.92,1,0.585,0.47,0.7,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.780337,0.184473,-0.471667,-0.17803,-0.05,'\'(0.5-inf)\'',2,'\'(0.5-inf)\'',2,'\'(0.5-inf)\'',2,'\'(0.75-1.5]\'','\'(-inf-0]\''
172,0.816212,0.655172,0.941176,0,0.1,0.598182,0,1,0.181818,0.454545,0.625,0,1,0.25,0.5,0.928409,0.6,1,0,0.045455,0.444444,0,1,0.555556,0.555556,0.965,0.95,0.98,0.57,0.49,0.65,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.716172,0.048541,-0.458667,-0.034091,-0.35,'\'(0.5-inf)\'',0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
135,0.255329,0,0.896552,0.6,0.9,0.531818,0,1,0.363636,0.454545,0,0,0,1,1,0.822348,0,1,0.136364,0.181818,0.666667,0,1,0.333333,0.333333,0.475,0,0.95,0.205,0,0.41,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.502186,-0.298158,-0.817333,-0.12803,-0.3,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
337,0.159412,0,0.8,0.8,0.8,0.181818,0,1,0.818182,0.818182,0,0,0,1,1,0.278788,0,1,0.681818,0.727273,0.222222,0,1,0.777778,0.777778,0,0,0,0,0,0,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.166203,-0.318824,-0.333333,-0.375758,-0.4,'\'(0.5-inf)\'',0,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
396,0.636372,0.444444,0.764706,0,0.8,0.916364,0.76,1,0,0,0.8,0.3,1,0,0.25,0.918182,0.5,1,0,0.090909,1,1,1,0,0,0.695,0.47,0.92,0.525,0.4,0.65,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.841155,-0.095374,-0.03,-0.072727,0,'\'(0.5-inf)\'',1.67,'\'(0.5-inf)\'',1.67,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
15,0.677384,0.294118,0.896552,0,0.4,0.353636,0,1,0.454545,0.636364,0.175,0,0.7,0.75,0.75,0.527348,0,1,0.318182,0.545455,0.888889,0,1,0.111111,0.111111,0.405,0.4,0.41,0.55,0.47,0.63,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(-inf-0.857143]\'',0.487374,-0.270127,-0.564,-0.347121,-0.25,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
170,0.308088,0,0.875,0.6,0.6,0.344545,0,1,0.545455,0.636364,0.075,0,0.3,0.75,1,0.474242,0,1,0.454545,0.545455,0.222222,0,1,0.777778,0.777778,0.365,0,0.73,0.195,0,0.39,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(3.428571-4.285714]\'',0.345089,-0.616176,-0.631667,-0.593939,-0.4,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(0-inf)\''
188,0.853773,0.722222,1,0,0,0.931818,0.72,1,0,0,0.8625,0.75,1,0,0,0.989015,0.85,1,0,0,1,1,1,0,0,0.85,0.81,0.89,0.625,0.58,0.67,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(3.428571-4.285714]\'',0.919781,-0.002318,-0.069333,-0.02197,0,'\'(0.5-inf)\'',3,'\'(0.5-inf)\'',3,'\'(0.5-inf)\'',3,'\'(0.75-1.5]\'','\'(-inf-0]\''
354,0.938815,0.75,1.03125,0,0,0.862727,0.24,1,0,0.181818,0.8375,0.6,1,0,0.25,0.927121,0.4,1,0,0.090909,0.888889,0,1,0.111111,0.111111,1,1,1,0.685,0.58,0.79,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(-inf-0.857143]\'',0.901738,-0.094869,-0.074667,-0.078485,-0.25,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(-inf-0.5]\'',-1,'\'(0.75-1.5]\'','\'(-inf-0]\''
